Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Reason),Custom field (Request Type),Custom field (Score),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Team Id,Team Name,Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
MR15 - View Approved Request - Search approved request,N1NJS1804-227,10566,Bug,Open,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,09/Jul/24 7:40 PM,09/Jul/24 7:59 PM,19/Jul/24 9:41 PM,,,0,Search approved request,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,,,,,,,,,,,,,,,,,,,,,N1NJS1804-230,,,,N1NJS1804-228,,N1NJS1804-226,09/Jul/24 7:40 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr14.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10147,09/Jul/24 7:44 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr15.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10148,,,,,,No show the exact request or include the same as the search field,,,,,,{},,N1NJS1804-2,Manage Request,,,Show the exact request or include the same as the search field,,,,,0|i000rr:,,,,,Bussiness Flow,,,,,,,,,Unit,"Step 1: go to approved request page
Step 2: Input name approved request",Fail,,,,,10001,Manage Request,To Do,09/Jul/24 7:40 PM
MR14 - View Approved Request - View all approved request,N1NJS1804-226,10565,Testcase,Done,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,Done,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,09/Jul/24 7:17 PM,16/Jul/24 11:46 PM,19/Jul/24 9:41 PM,16/Jul/24 11:46 PM,,0,View all approved request,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,,,,,,,,,,,,,,,,,,,,,N1NJS1804-230,,,,N1NJS1804-227,,N1NJS1804-225,09/Jul/24 7:37 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr14.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10146,,,,,,,All pending request listed,,,,,,{},,N1NJS1804-2,Manage Request,,,List all pending request,,,,,0|i000rj:,,,,,Bussiness Flow,,,,,,,,,Unit,Step 1: go to approved page,Pass,,,,1_*:*_1_*:*_1161962_*|*_10000_*:*_1_*:*_619820792_*|*_10001_*:*_1_*:*_0,10001,Manage Request,Done,16/Jul/24 11:46 PM
MR13 - View Pending Request - Edit pending request,N1NJS1804-225,10564,Bug,Open,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,09/Jul/24 7:05 PM,09/Jul/24 7:57 PM,19/Jul/24 9:41 PM,,,0,Edit pending request,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,,,,,,,,,,,,,,,,,,,,,N1NJS1804-220,,,,N1NJS1804-226,,N1NJS1804-224,09/Jul/24 7:08 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr13.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10143,09/Jul/24 7:08 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr13a.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10144,09/Jul/24 7:08 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr13b.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10145,,,,,Wrong logic,,,,,,{},,N1NJS1804-2,Manage Request,,,Update successfully,,,,,0|i000rb:,,,,,Bussiness Flow,,,,,,,,,Unit,"Step 1: go to pending request page
Step 2: Press 'Cập nhập'
Step 3: Input value want to update",Fail,,,,,10001,Manage Request,To Do,09/Jul/24 7:05 PM
MR12 - View Pending Request - Delete pending request,N1NJS1804-224,10563,Testcase,Done,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,Done,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,09/Jul/24 1:59 PM,16/Jul/24 11:43 PM,19/Jul/24 9:41 PM,16/Jul/24 11:43 PM,,0,Delete pending request,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,,,,,,,,,,,,,,,,,,,,,N1NJS1804-220,,,,N1NJS1804-225,,N1NJS1804-223,09/Jul/24 1:59 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr09.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10137,09/Jul/24 2:02 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr12.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10139,,,,,,Show remaining requests and popup 'Xóa thành công',,,,,,{},,N1NJS1804-2,Manage Request,,,Show remaining requests,,,,,0|i000r3:,,,,,Bussiness Flow,,,,,,,,,Unit,"Step 1: go to pending request page
Step 2: Delete any request
Step 3: Confirm to delete",Pass,,,,1_*:*_1_*:*_21028127_*|*_10000_*:*_1_*:*_618820198_*|*_10001_*:*_1_*:*_0,10001,Manage Request,Done,16/Jul/24 11:43 PM
MR11 - View Pending Request - Filter pending request,N1NJS1804-223,10562,Bug,Open,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,09/Jul/24 1:54 PM,09/Jul/24 7:57 PM,19/Jul/24 9:41 PM,,,0,Filter pending request,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,,,,,,,,,,,,,,,,,,,,,N1NJS1804-220,,,,N1NJS1804-224,,N1NJS1804-222,09/Jul/24 1:54 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr09.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10134,09/Jul/24 1:58 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr11.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10136,,,,,,No show the exact requests the same as 3 filter fields,,,,,,{},,N1NJS1804-2,Manage Request,,,Show the exact requests the same as 3 filter fields,,,,,0|i000qv:,,,,,Bussiness Flow,,,,,,,,,Unit,"Step 1: go to pending request page
Step 2: Select value in 3 filter fields",Fail,,,,,10001,Manage Request,To Do,09/Jul/24 1:54 PM
MR10 - View Pending Request - Search pending request,N1NJS1804-222,10561,Bug,Open,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,09/Jul/24 1:44 PM,09/Jul/24 7:57 PM,19/Jul/24 9:41 PM,,,0,Search pending request,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,,,,,,,,,,,,,,,,,,,,,N1NJS1804-220,,,,N1NJS1804-223,,N1NJS1804-221,09/Jul/24 1:50 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr09.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10132,,,,,,,No show the exact request or include the same as the search field,,,,,,{},,N1NJS1804-2,Manage Request,,,Show the exact request or include the same as the search field,,,,,0|i000qn:,,,,,Bussiness Flow,,,,,,,,,Unit,"Step 1: go to pending request page
Step 2: Input name pending request",Fail,,,,,10001,Manage Request,To Do,09/Jul/24 1:44 PM
MR09 - View Pending Request - View all pending request,N1NJS1804-221,10560,Testcase,Done,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,Done,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,09/Jul/24 1:35 PM,17/Jul/24 10:00 AM,09/Jul/24 8:10 PM,17/Jul/24 10:00 AM,,0,View all pending request,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,,,,,,,,,,,,,,,,,,,,,N1NJS1804-220,,,,N1NJS1804-222,,,09/Jul/24 1:43 PM;712020:b66d4001-2f42-4720-8145-467eb33b755e;mr09.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10131,,,,,,,All pending request listed,,,,,,{},,N1NJS1804-2,Manage Request,,,List all pending request,,,,,0|i000qf:,,,,,Bussiness Flow,,,,,,,,,Unit,Step 1: go to pending request page,Pass,,,,10000_*:*_2_*:*_641479038_*|*_10001_*:*_2_*:*_36841544,10001,Manage Request,Done,17/Jul/24 10:00 AM
UC18 - View Pending Request,N1NJS1804-220,10559,Story,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,Le Thanh Tai (K17 HCM),712020:b66d4001-2f42-4720-8145-467eb33b755e,09/Jul/24 1:33 PM,19/Jul/24 10:19 AM,13/Jul/24 10:05 AM,,,0,,,,,,,,,,,,,N1NJS1804-222,N1NJS1804-223,N1NJS1804-224,N1NJS1804-225,N1NJS1804-221,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,N1NJS1804-2,Manage Request,,,,,,,,0|i000q7:,,,,,Bussiness Flow,,,,,,,,,Unit,,,,,,,10001,Manage Request,To Do,09/Jul/24 1:33 PM
JR04 - Join Request - Account do not have tutor role,N1NJS1804-219,10558,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,29/Jun/24 3:52 PM,29/Jun/24 3:55 PM,19/Jul/24 9:41 PM,,,0,Tutor join request but Account do not have tutor role,,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,,,,,,,,,N1NJS1804-215,,,,,,,,,,,,,,,,,,,29/Jun/24 3:55 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;3.1.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10129,29/Jun/24 3:55 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;3.2.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10130,29/Jun/24 3:55 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;anh.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10128,,,,,"The message will show :""Không tìm thấy gia sư nào với tài khoản này""",,,,,,{},,N1NJS1804-2,Manage Request,,,"The message will show :""Gia sư đã tham gia vào yêu cầu này rồi""",,,,,0|i000pz:,"The message will show :""Không tìm thấy gia sư nào với tài khoản này""",,,,Set Up,,,,,,,,,Unit,"1. Click ""Xem danh sách lớp"" on menu home page
2. Click ""Nhận lớp"" button to join request",Pass,,,,,10001,Manage Request,To Do,29/Jun/24 3:52 PM
JR03 - Join Request - Tutor already joined,N1NJS1804-218,10557,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,29/Jun/24 3:39 PM,29/Jun/24 3:44 PM,19/Jul/24 9:41 PM,,,0,Tutor join request but tutor already joined,,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,,,,,,,,,N1NJS1804-215,,,,,,,,,,,,,,,,,,,29/Jun/24 3:42 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;4.1.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10124,29/Jun/24 3:42 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;4.2.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10125,29/Jun/24 3:43 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;anh.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10126,,,,,"The message will show :""Gia sư đã tham gia vào yêu cầu này rồi""",,,,,,{},,N1NJS1804-2,Manage Request,,,,,,,,0|i000pr:,"The message will show :""Gia sư đã tham gia vào yêu cầu này rồi""",,,,Set Up,,,,,,,,,Unit,"1. Click ""Xem danh sách lớp"" on menu home page
2. Click ""Nhận lớp"" button to join request",Pass,,,,,10001,Manage Request,To Do,29/Jun/24 3:39 PM
JR02 - Join Request - Request not found,N1NJS1804-217,10556,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,29/Jun/24 3:34 PM,29/Jun/24 3:44 PM,09/Jul/24 1:04 PM,,,0,,,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,,,,,,,,,N1NJS1804-215,,,,,,,,,,,,,,,,,,,29/Jun/24 3:38 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;2.1.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10122,29/Jun/24 3:38 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;2.2.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10123,29/Jun/24 3:44 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;anh.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10127,,,,,"The message will show :""Không tìm thấy yêu cầu nào""",,,,,,{},,N1NJS1804-2,Manage Request,,,"The message will show :""Không tìm thấy yêu cầu nào""",,,,,0|i000pj:,,,,,Set Up,,,,,,,,,Unit,"1. Click ""Xem danh sách lớp"" on menu home page
2. Click ""Nhận lớp"" button to join request",Pass,,,,,10001,Manage Request,To Do,29/Jun/24 3:34 PM
JR01 - Join Request - Success,N1NJS1804-216,10555,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,29/Jun/24 2:26 PM,29/Jun/24 3:36 PM,09/Jul/24 1:04 PM,,,0,Tutor join request successful,,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,,,,,,,,,N1NJS1804-215,,,,,,,,,,,,,,,,,,,29/Jun/24 3:32 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;1.1.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10120,29/Jun/24 3:32 PM;712020:79b87770-bf5e-4355-b124-1139adfaa7cb;1.2.jpg;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10121,,,,,,"The message will show :""Bạn đã tham gia vào yêu cầu của học sinh""",,,,,,{},,N1NJS1804-2,Manage Request,,,"The message will show :""Bạn đã tham gia vào yêu cầu của học sinh""",,,,,0|i000pb:,,,,,Set Up,,,,,,,,,Unit,"1. Click ""Xem danh sách lớp"" on menu home page
2. Click ""Nhận lớp"" button to join request",Pass,,,,,10001,Manage Request,To Do,29/Jun/24 2:26 PM
UC15 - Join Request,N1NJS1804-215,10554,Story,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,29/Jun/24 2:22 PM,29/Jun/24 3:54 PM,19/Jul/24 9:41 PM,,,0,,,Lê Minh Tân,712020:79b87770-bf5e-4355-b124-1139adfaa7cb,,,,,,,,,,,,,,,,,,,,,N1NJS1804-216,N1NJS1804-218,N1NJS1804-217,N1NJS1804-219,,,,,,,,,,,,,,,,,{},,,,,,,,,,,0|i000p3:,,,,,Set Up,,,,,,,,,,,,,,,,,,To Do,29/Jun/24 2:22 PM
UC04 - View Profile,N1NJS1804-214,10553,Story,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,29/Jun/24 11:32 AM,19/Jul/24 9:38 PM,19/Jul/24 9:41 PM,,,0,,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,,,,,,,,,N1NJS1804-212,N1NJS1804-213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,N1NJS1804-1,Manage User,,,,,purple,,,0|i000wi:y,,,,,Set Up,,,,,,,,,,,,,,,,10000,Manage User,To Do,29/Jun/24 11:32 AM
MU29 - View Profile - Display Student Avatar,N1NJS1804-213,10552,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,29/Jun/24 11:08 AM,19/Jul/24 9:38 PM,19/Jul/24 9:41 PM,,,0,Check if the student's avatar is displayed or not.,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,,,,,,,,,,,,,,,,,,,,,N1NJS1804-214,,,,,,,29/Jun/24 11:32 AM;712020:a716a215-180f-41ff-98d2-f126f6fe9568;38ba7277-d798-4922-b0a6-852bf86ff3db.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10119,,,,,,,"1. The profile page is loaded.
2. The student's avatar is displayed correctly.",,,,,,{},,N1NJS1804-1,Manage User,,,"1. The profile page is loaded.
2. The student's avatar is displayed correctly.",,purple,,,0|i000wi:zi,,,,,Set Up,,,,,,,,,Unit,"1. Navigate to the profile page of a specific student.
2. Check the student's avatar.",Pass,,,,,10000,Manage User,To Do,29/Jun/24 11:08 AM
MU28 - View Profile - Display Student Infomation,N1NJS1804-212,10551,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,29/Jun/24 11:00 AM,19/Jul/24 9:38 PM,19/Jul/24 9:41 PM,,,0,Check if the student's profile is displayed completely and accurately.,,Doan Dinh Quang Truong (K17 HCM),712020:a716a215-180f-41ff-98d2-f126f6fe9568,,,,,,,,,,,,,,,,,,,,,N1NJS1804-214,,,,,,,29/Jun/24 11:07 AM;712020:a716a215-180f-41ff-98d2-f126f6fe9568;Ảnh chụp màn hình 2024-06-29 104732.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10118,,,,,,,"1. The profile page is loaded.
2. The student's name is displayed correctly.
3. The student's address is displayed correctly.
4. The student's date of birth is displayed correctly.
5. The student's phone number is displayed correctly.",,,,,,{},,N1NJS1804-1,Manage User,,,"1. The profile page is loaded.
2. The student's name is displayed correctly.
3. The student's address is displayed correctly.
4. The student's date of birth is displayed correctly.
5. The student's phone number is displayed correctly.",,purple,,,0|i000wi:z,,,,,Set Up,,,,,,,,,Unit,"1. Navigate to the profile page of a specific student.
2. Check the student's name.
3. Check the student's address.
4. Check the student's date of birth.
5. Check the student's phone number.",Pass,,,,,10000,Manage User,To Do,29/Jun/24 11:00 AM
MR08 - Check create request - Check create request form with correct infomations,N1NJS1804-211,10550,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,29/Jun/24 9:45 AM,29/Jun/24 1:24 PM,19/Jul/24 9:41 PM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-119,,,,,,,29/Jun/24 9:46 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240629-024639.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10106,,,,,,,the form's submitted,,,,,,{},,N1NJS1804-2,Manage Request,,,the form's submitted,,,,,0|i000ly:x,,,,,Set Up,,,,,,,,,Unit," 
 1: Type title field
2: type subject field
3: choose  learning method
4: tick the day you want to learn
5: choose the start time field
6: choose the end time field
7:  submit the form 
8: login as Mod account 
9: check the form is in request manage table or not ",Pass,,,,,10001,Manage Request,To Do,29/Jun/24 9:45 AM
MR07 - Check create request - check the start time must be before the end time,N1NJS1804-210,10549,Testcase,To Do,N1NJS1804,N1_NJS1804_SWP,software,Le Minh Tri (K17 HCM),712020:b591ae51-1327-4e5a-92a3-cb4ff9ff0d88,,,Medium,,,,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,Nguyễn Trí Thành,712020:3ecca1b3-f181-406d-8df5-a0905574eb74,29/Jun/24 12:14 AM,29/Jun/24 10:42 AM,29/Jun/24 9:24 AM,,,0,,,,,,,,,,,,,,,,,,,,,,,,,N1NJS1804-119,,,,,,,29/Jun/24 10:42 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240629-034236.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10115,29/Jun/24 10:42 AM;712020:3ecca1b3-f181-406d-8df5-a0905574eb74;image-20240629-034242.png;https://leminhtri1892003.atlassian.net/rest/api/3/attachment/content/10116,,,,,,'thời gian không phù hợp' appear,,,,,,{},,N1NJS1804-2,Manage Request,,,'thời gian không phù hợp' appear,,,,,0|i000ly:v,,,,,Set Up,,,,,,,,,,"1:Enter a start time greater than the end time
2:See if the form can be submitted or if there is any notification",Pass,,,,,10001,Manage Request,To Do,29/Jun/24 12:14 AM
